K3311 (smoothed) - flap - LE - 3/20
 1.00000     0.00000
 0.99754     0.00055
 0.99070     0.00206
 0.98037     0.00428
 0.96698     0.00706
 0.95044     0.01040
 0.93064     0.01430
 0.90775     0.01871
 0.88202     0.02357
 0.85370     0.02879
 0.82309     0.03430
 0.79048     0.03999
 0.75616     0.04575
 0.72043     0.05150
 0.68359     0.05713
 0.64594     0.06257
 0.60778     0.06772
 0.56937     0.07246
 0.53099     0.07666
 0.49265     0.08025
 0.45435     0.08315
 0.41638     0.08525
 0.37887     0.08647
 0.34204     0.08674
 0.30609     0.08604
 0.27120     0.08436
 0.23760     0.08174
 0.20549     0.07821
 0.20000     0.07742
 0.18966     0.07581
 0.18052     0.07415
 0.17258     0.07244
 0.14433     0.06575
 0.11819     0.05843
 0.09433     0.05059
 0.07293     0.04236
 0.05408     0.03384
 0.03793     0.02524
 0.02458     0.01674
 0.01405     0.00853
 0.00654     0.00084
 0.00239    -0.00607
 0.00164    -0.01043
 0.00282    -0.01418
 0.00754    -0.01835
 0.01562    -0.02143
 0.02669    -0.02358
 0.04057    -0.02507
 0.05722    -0.02613
 0.07655    -0.02686
 0.09842    -0.02728
 0.12268    -0.02732
 0.14919    -0.02695
 0.17774    -0.02615
 0.20077    -0.02520
 0.20549    -0.02525
 0.23760    -0.02524
 0.27120    -0.02490
 0.30609    -0.02424
 0.34204    -0.02329
 0.37887    -0.02207
 0.41638    -0.02057
 0.45435    -0.01879
 0.49265    -0.01679
 0.53099    -0.01466
 0.56937    -0.01253
 0.60778    -0.01049
 0.64594    -0.00859
 0.68359    -0.00686
 0.72043    -0.00531
 0.75616    -0.00396
 0.79048    -0.00283
 0.82309    -0.00195
 0.85370    -0.00132
 0.88202    -0.00094
 0.90775    -0.00074
 0.93064    -0.00067
 0.95044    -0.00063
 0.96698    -0.00057
 0.98037    -0.00044
 0.99070    -0.00026
 0.99754    -0.00008
 1.00000     0.00000
